Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Samsung,Galaxy A51,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Màu khác,128 GB,Đang cập nhật,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",1.450.000
Oppo,F5,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,32 GB,Đang cập nhật,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",750.000
Xiaomi,Redmi Note 5A/Note 5A Prime,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,16 GB,Trung Quốc,"Trường Mầm Non Sơn Ca 8 , Đường Vườn Lài",450.000
Oppo,A3,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,Việt Nam,In trên bao bì,"Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",700.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,64 GB,Mỹ,"Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",3.000.000
Oppo,A83,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,128 GB,Việt Nam,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",590.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh lá,64 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",4.500.000
Apple,iPhone 14 Pro,Đã sử dụng (chưa sửa chữa),3 tháng,Trắng,256 GB,Mỹ,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",16.500.000
Samsung,Z Fold 6,Mới,>12 tháng,Bạc,256 GB,Việt Nam,220 Minh Phụng P6 Q6 Tphcm,33.550.000
Samsung,Galaxy S9 Plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Tím,256 GB,Hàn Quốc,"Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",2.300.000
Samsung,Galaxy S9 Plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Tím,256 GB,Hàn Quốc,"Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",2.300.000
Xiaomi,13 Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh lá,128 GB,Đang cập nhật,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",7.980.000
Realme,5i,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh lá,64 GB,Việt Nam,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",1.150.000
Hãng khác,Dòng khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Xã Vũ Phúc, Thành phố Thái Bình, Thái Bình",350.000
Samsung,Galaxy Z Flip4,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Tím,256 GB,Hàn Quốc,"Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",6.000.000
Samsung,Galaxy A9,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Hồng,128 GB,Việt Nam,"Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.400.000
Apple,iPhone 7,Đã sử dụng (chưa sửa chữa),2 tháng,Trắng,32 GB,Nước khác,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.550.000
Apple,iPhone 13,Đã sử dụng (chưa sửa chữa),3 tháng,Đỏ,128 GB,Mỹ,"Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",9.200.000
Xiaomi,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen bóng - Jet black,256 GB,Việt Nam,"Xã La Phù, Huyện Hoài Đức, Hà Nội",8.300.000
Xiaomi,Mi 8,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,128 GB,Việt Nam,"Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",1.300.000
Vivo,V11i,Đã sử dụng (qua sửa chữa),Hết bảo hành,Xanh dương,128 GB,Việt Nam,"Phường 15, Quận 8, Tp Hồ Chí Minh",1.400.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Tím,128 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",6.868.686
